route,url,type,title,canonical,robots,jsonLdCount,h1,words,minimumWords
"/self-employment-tax-calculator","https://mypayrights.com/self-employment-tax-calculator","tool","Self-employment tax calculator · My Pay Rights","https://mypayrights.com/self-employment-tax-calculator","index, follow","3","Self-employment tax calculator","1070","180"
"/day-rate-calculator","https://mypayrights.com/day-rate-calculator","tool","Day rate calculator · My Pay Rights","https://mypayrights.com/day-rate-calculator","index, follow","3","Day rate calculator","1002","180"
"/ir35-calculator","https://mypayrights.com/ir35-calculator","tool","IR35 calculator · My Pay Rights","https://mypayrights.com/ir35-calculator","index, follow","3","IR35 calculator","1111","180"
"/settlement-agreement-calculator","https://mypayrights.com/settlement-agreement-calculator","tool","UK Settlement Agreement Calculator 2026 | Free Estimate · My Pay Rights","https://mypayrights.com/settlement-agreement-calculator","index, follow","3","Settlement agreement calculator","1377","180"
"/tribunal-compensation-calculator","https://mypayrights.com/tribunal-compensation-calculator","tool","UK Employment Tribunal Compensation Calculator 2026 | Free · My Pay Rights","https://mypayrights.com/tribunal-compensation-calculator","index, follow","3","Employment tribunal compensation calculator","1309","180"
"/redundancy-pay-calculator","https://mypayrights.com/redundancy-pay-calculator","tool","UK Redundancy Pay Calculator 2026 | Free & Law-Backed · My Pay Rights","https://mypayrights.com/redundancy-pay-calculator","index, follow","3","Redundancy pay calculator","1066","180"
"/au-redundancy-pay-calculator","https://mypayrights.com/au-redundancy-pay-calculator","tool","Australia Redundancy Pay Calculator — Fair Work Act 2026 · My Pay Rights","https://mypayrights.com/au-redundancy-pay-calculator","index, follow","3","Australia redundancy pay calculator","1136","180"
"/pto-payout-calculator","https://mypayrights.com/pto-payout-calculator","tool","PTO payout calculator · My Pay Rights","https://mypayrights.com/pto-payout-calculator","index, follow","3","PTO payout calculator","1045","180"
"/notice-period-calculator","https://mypayrights.com/notice-period-calculator","tool","Notice period calculator · My Pay Rights","https://mypayrights.com/notice-period-calculator","index, follow","3","Notice period calculator","990","180"
"/severance-pay-calculator","https://mypayrights.com/severance-pay-calculator","tool","Severance pay estimator · My Pay Rights","https://mypayrights.com/severance-pay-calculator","index, follow","3","Severance pay estimator","990","180"
"/take-home-overtime-calculator","https://mypayrights.com/take-home-overtime-calculator","tool","Overtime pay calculator · My Pay Rights","https://mypayrights.com/take-home-overtime-calculator","index, follow","3","Overtime pay calculator","855","180"
"/salary-to-hourly-calculator","https://mypayrights.com/salary-to-hourly-calculator","tool","Salary to hourly calculator · My Pay Rights","https://mypayrights.com/salary-to-hourly-calculator","index, follow","3","Salary to hourly calculator","837","180"
"/holiday-entitlement-calculator","https://mypayrights.com/holiday-entitlement-calculator","tool","Holiday entitlement calculator · My Pay Rights","https://mypayrights.com/holiday-entitlement-calculator","index, follow","3","Holiday entitlement calculator","853","180"
"/maternity-pay-calculator","https://mypayrights.com/maternity-pay-calculator","tool","Maternity pay calculator · My Pay Rights","https://mypayrights.com/maternity-pay-calculator","index, follow","3","Maternity pay calculator","894","180"
"/paternity-pay-calculator","https://mypayrights.com/paternity-pay-calculator","tool","Paternity pay calculator · My Pay Rights","https://mypayrights.com/paternity-pay-calculator","index, follow","3","Paternity pay calculator","1266","180"
"/adoption-pay-calculator","https://mypayrights.com/adoption-pay-calculator","tool","Adoption pay calculator · My Pay Rights","https://mypayrights.com/adoption-pay-calculator","index, follow","3","Adoption pay calculator","1186","180"
"/shared-parental-leave-calculator","https://mypayrights.com/shared-parental-leave-calculator","tool","Shared parental leave pay calculator · My Pay Rights","https://mypayrights.com/shared-parental-leave-calculator","index, follow","3","Shared parental leave pay calculator","1227","180"
"/statutory-sick-pay-calculator","https://mypayrights.com/statutory-sick-pay-calculator","tool","Statutory sick pay calculator · My Pay Rights","https://mypayrights.com/statutory-sick-pay-calculator","index, follow","3","Statutory sick pay calculator","925","180"
"/final-paycheck-deadline-calculator","https://mypayrights.com/final-paycheck-deadline-calculator","tool","Final paycheck deadline calculator · My Pay Rights","https://mypayrights.com/final-paycheck-deadline-calculator","index, follow","3","Final paycheck deadline calculator","1025","180"
"/unemployment-benefit-calculator","https://mypayrights.com/unemployment-benefit-calculator","tool","Unemployment benefit calculator · My Pay Rights","https://mypayrights.com/unemployment-benefit-calculator","index, follow","3","Unemployment benefit calculator","1054","180"
"/pay-rise-calculator","https://mypayrights.com/pay-rise-calculator","tool","Pay rise calculator · My Pay Rights","https://mypayrights.com/pay-rise-calculator","index, follow","3","Pay rise calculator","830","180"
"/pro-rata-salary-calculator","https://mypayrights.com/pro-rata-salary-calculator","tool","Pro-rata salary calculator · My Pay Rights","https://mypayrights.com/pro-rata-salary-calculator","index, follow","3","Pro-rata salary calculator","798","180"
"/bonus-tax-calculator","https://mypayrights.com/bonus-tax-calculator","tool","Bonus tax calculator · My Pay Rights","https://mypayrights.com/bonus-tax-calculator","index, follow","3","Bonus tax calculator","903","180"
"/working-days-calculator","https://mypayrights.com/working-days-calculator","tool","Working days calculator · My Pay Rights","https://mypayrights.com/working-days-calculator","index, follow","3","Working days calculator","730","180"
"/garden-leave-calculator","https://mypayrights.com/garden-leave-calculator","tool","Garden leave calculator · My Pay Rights","https://mypayrights.com/garden-leave-calculator","index, follow","3","Garden leave calculator","921","180"
"/au-notice-period-calculator","https://mypayrights.com/au-notice-period-calculator","tool","Australia Notice Period Calculator — Fair Work Act 2009 · My Pay Rights","https://mypayrights.com/au-notice-period-calculator","index, follow","3","Australia notice period calculator","1079","180"
"/au-annual-leave-calculator","https://mypayrights.com/au-annual-leave-calculator","tool","Australia Annual Leave Calculator — NES Entitlement 2025 · My Pay Rights","https://mypayrights.com/au-annual-leave-calculator","index, follow","3","Australia annual leave calculator","986","180"
"/employer-redundancy-cost-calculator","https://mypayrights.com/employer-redundancy-cost-calculator","tool","Employer Redundancy Cost Calculator UK 2026 — What Do I Owe? · My Pay Rights","https://mypayrights.com/employer-redundancy-cost-calculator","index, follow","3","Employer redundancy cost calculator","1127","180"
"/employer-notice-pay-calculator","https://mypayrights.com/employer-notice-pay-calculator","tool","Employer Notice Pay Calculator UK 2026 — What Notice Do I Owe? · My Pay Rights","https://mypayrights.com/employer-notice-pay-calculator","index, follow","3","Employer notice pay calculator","1068","180"
